sno_x,constituency,winner,party,sno_y,state,population,growth,sr,literacy,values
2,nalgonda,gutha sukender reddy,inc,88,andhra pradesh,"3,488,809",7.41 %,983,64.2,1
4,warangal,rajaiah siricilla,inc,83,andhra pradesh,"3,512,576",8.21 %,997,65.11,1
6,khammam,nama nageswara rao,tdp,140,andhra pradesh,"2,797,370",8.47 %,1011,64.81,2
8,srikakulam,killi krupa rani,inc,147,andhra pradesh,"2,703,114",6.52 %,1015,61.74,1
9,vizianagaram,jhansi lakshmi botcha,inc,193,andhra pradesh,"2,344,474",4.23 %,1019,58.89,1
10,visakhapatnam,daggubati purandeswari,inc,44,andhra pradesh,"4,290,589",11.96 %,1006,66.91,1
19,guntur,rayapati sambasiva rao,inc,22,andhra pradesh,"4,887,813",9.47 %,1003,67.4,1
24,kurnool,kotla jaya surya prakash reddy,inc,54,andhra pradesh,"4,053,463",14.85 %,988,59.97,1
25,anantapur,anantha venkata rami reddy,inc,52,andhra pradesh,"4,081,148",12.10 %,977,63.57,1
31,chittoor,naramalli sivaprasad,tdp,47,andhra pradesh,"4,174,064",11.43 %,997,71.53,2
32,adilabad,rathod ramesh,tdp,143,andhra pradesh,"2,741,239",10.18 %,1001,61.01,2
34,karimnagar,ponnam prabhakar,inc,69,andhra pradesh,"3,776,269",8.15 %,1008,64.15,1
35,nizamabad,madhu yaskhi goud,inc,165,andhra pradesh,"2,551,335",8.77 %,1040,61.25,1
37,medak,vijaya shanthi .m,trs,121,andhra pradesh,"3,033,288",13.60 %,992,61.42,1
40,hyderabad,asaduddin owaisi,aimim,60,andhra pradesh,"3,943,323",2.97 %,954,83.25,0
42,mahbubnagar,k. chandrasekhar rao,trs,55,andhra pradesh,"4,053,028",15.34 %,977,55.04,1
45,karimganj,lalit mohan suklabaidya,inc,389,assam,"1,228,686",21.90 %,963,78.22,1
48,dhubri,badruddin ajmal,audf,240,assam,"1,949,258",24.44 %,953,58.34,2
49,kokrajhar,sansuma khunggur,bopf,468,assam,"887,142",5.21 %,959,65.22,1
50,barpeta,ismail hussain,inc,292,assam,"1,693,622",21.43 %,953,63.81,1
56,jorhat,bijoy krishna handique,inc,418,assam,"1,092,256",9.31 %,962,82.15,1
57,dibrugarh,paban singh ghatowar,inc,368,assam,"1,326,335",11.92 %,961,76.05,1
58,lakhimpur,ranee narah,inc,435,assam,"1,042,137",17.22 %,968,77.2,1
62,sheohar,rama devi,bjp,511,bihar,"656,246",27.19 %,893,53.78,0
63,sitamarhi,arjun roy,jd(u),96,bihar,"3,423,574",27.62 %,899,52.05,2
64,madhubani,hukmadeo narayan yadav,bjp,37,bihar,"4,487,379",25.51 %,926,58.62,0
66,supaul,vishwa mohan kumar,jd(u),203,bihar,"2,229,076",28.66 %,929,57.67,2
67,araria,pradeep kumar singh,bjp,138,bihar,"2,811,569",30.25 %,921,53.53,0
68,kishanganj,mohammad asrarul haque,inc,293,bihar,"1,690,400",30.40 %,950,55.46,1
69,katihar,nikhil kumar choudhary,bjp,117,bihar,"3,071,029",28.35 %,919,52.24,0
70,purnia,uday singh alias pappu singh,bjp,106,bihar,"3,264,619",28.33 %,921,51.08,0
71,madhepura,sharad yadav,jd(u),231,bihar,"2,001,762",31.12 %,911,52.25,2
72,darbhanga,kirti azad,bjp,61,bihar,"3,937,385",19.47 %,911,56.56,0
73,muzaffarpur,captain jai narayan prasad,jd(u),24,bihar,"4,801,062",28.14 %,900,63.43,2
