sno_x,constituency,winner,party,sno_y,state,population,growth,sr,literacy,values,fmcg
2,nalgonda,gutha sukender reddy,inc,88,andhra pradesh,"3,488,809",7.41 %,983,64.2,1,62.29
4,warangal,rajaiah siricilla,inc,83,andhra pradesh,"3,512,576",8.21 %,997,65.11,1,57.24
32,adilabad,rathod ramesh,tdp,143,andhra pradesh,"2,741,239",10.18 %,1001,61.01,2,52.51
34,karimnagar,ponnam prabhakar,inc,69,andhra pradesh,"3,776,269",8.15 %,1008,64.15,1,66.12
35,nizamabad,madhu yaskhi goud,inc,165,andhra pradesh,"2,551,335",8.77 %,1040,61.25,1,65.19
37,medak,vijaya shanthi .m,trs,121,andhra pradesh,"3,033,288",13.60 %,992,61.42,1,64.59
40,hyderabad,asaduddin owaisi,aimim,60,andhra pradesh,"3,943,323",2.97 %,954,83.25,0,66.2
45,karimganj,lalit mohan suklabaidya,inc,389,assam,"1,228,686",21.90 %,963,78.22,1,38.27
48,dhubri,badruddin ajmal,audf,240,assam,"1,949,258",24.44 %,953,58.34,2,6.98
49,kokrajhar,sansuma khunggur,bopf,468,assam,"887,142",5.21 %,959,65.22,1,39.39
50,barpeta,ismail hussain,inc,292,assam,"1,693,622",21.43 %,953,63.81,1,42.53
56,jorhat,bijoy krishna handique,inc,418,assam,"1,092,256",9.31 %,962,82.15,1,49.0
57,dibrugarh,paban singh ghatowar,inc,368,assam,"1,326,335",11.92 %,961,76.05,1,44.7
58,lakhimpur,ranee narah,inc,435,assam,"1,042,137",17.22 %,968,77.2,1,42.42
62,sheohar,rama devi,bjp,511,bihar,"656,246",27.19 %,893,53.78,0,53.3
63,sitamarhi,arjun roy,jd(u),96,bihar,"3,423,574",27.62 %,899,52.05,2,43.48
64,madhubani,hukmadeo narayan yadav,bjp,37,bihar,"4,487,379",25.51 %,926,58.62,0,50.2
66,supaul,vishwa mohan kumar,jd(u),203,bihar,"2,229,076",28.66 %,929,57.67,2,44.35
67,araria,pradeep kumar singh,bjp,138,bihar,"2,811,569",30.25 %,921,53.53,0,40.18
68,kishanganj,mohammad asrarul haque,inc,293,bihar,"1,690,400",30.40 %,950,55.46,1,36.45
69,katihar,nikhil kumar choudhary,bjp,117,bihar,"3,071,029",28.35 %,919,52.24,0,36.2
70,purnia,uday singh alias pappu singh,bjp,106,bihar,"3,264,619",28.33 %,921,51.08,0,37.65
72,darbhanga,kirti azad,bjp,61,bihar,"3,937,385",19.47 %,911,56.56,0,50.58
73,muzaffarpur,captain jai narayan prasad,jd(u),24,bihar,"4,801,062",28.14 %,900,63.43,2,52.65
74,vaishali,raghuvansh prasad singh,rjd,87,bihar,"3,495,021",28.57 %,895,66.6,1,57.73
75,gopalganj,purnmasi ram,jd(u),163,bihar,"2,562,012",19.02 %,1021,65.47,2,70.3
76,siwan,om prakash yadav,ind,101,bihar,"3,330,464",22.70 %,988,69.45,1,69.52
77,maharajganj,uma shanaker singh,rjd,148,uttar pradesh,"2,684,703",23.50 %,943,62.76,1,65.26
78,saran,lalu prasad,rjd,59,bihar,"3,951,862",21.64 %,954,65.96,1,62.12
81,samastipur,maheshwar hazari,jd(u),45,bihar,"4,261,566",25.53 %,911,61.86,2,48.55
82,begusarai,dr. monazir hassan,jd(u),126,bihar,"2,970,541",26.44 %,895,63.87,2,51.99
83,khagaria,dinesh chandra yadav,jd(u),296,bihar,"1,666,886",30.19 %,886,57.92,2,45.77
84,bhagalpur,syed shahnawaz hussain,bjp,120,bihar,"3,037,766",25.36 %,880,63.14,0,50.44
85,banka,digvijay singh,ind,227,bihar,"2,034,763",26.48 %,907,58.17,1,44.97
86,munger,rajiv ranjan singh alias lalan,jd(u),358,bihar,"1,367,765",20.21 %,876,70.46,2,52.42
87,nalanda,kaushalendra kumar,jd(u),134,bihar,"2,877,653",21.39 %,922,64.43,2,51.48
95,aurangabad,sushil kumar singh,jd(u),71,maharashtra,"3,701,282",27.76 %,923,79.02,2,61.72
96,gaya,hari manjhi,bjp,42,bihar,"4,391,418",26.43 %,937,63.67,0,51.6
97,nawada,bhola singh,bjp,205,bihar,"2,219,146",22.63 %,939,59.76,0,49.67
98,jamui,bhudeo choudhary,jd(u),273,bihar,"1,760,405",25.85 %,922,59.79,2,47.99
99,north goa,shripad yesso naik,bjp,480,goa,"818,008",7.84 %,963,89.57,0,55.38
100,south goa,cosme francisco caitano,inc,515,goa,"640,537",8.73 %,986,87.59,1,51.74
101,kachchh,jat poonamben veljibhai,bjp,219,gujarat,"2,092,371",32.16 %,908,70.59,0,68.35
103,patan,jagdish thakor,inc,360,gujarat,"1,343,734",13.61 %,935,72.3,1,58.72
105,sabarkantha,chauhan mahendrasinh,bjp,183,gujarat,"2,428,589",16.62 %,952,75.79,0,45.21
106,gandhinagar,l.k.advani,bjp,350,gujarat,"1,391,753",4.29 %,923,84.16,0,59.78
109,surendranagar,koli patel somabhai gandalal,inc,274,gujarat,"1,756,268",15.91 %,930,72.13,1,66.79
110,rajkot,kuvarjibhai mohanbhai bavalia,inc,67,gujarat,"3,804,558",20.02 %,927,80.96,1,71.39
111,porbandar,radadiya vitthalbhai hansrajbhai,inc,529,gujarat,"585,449",9.06 %,950,75.78,1,65.71
112,jamnagar,ahir vikrambhai arjanbhai madam,inc,211,gujarat,"2,160,119",13.44 %,939,73.65,1,68.67
113,junagadh,solanki dinubhai boghabhai,bjp,142,gujarat,"2,743,082",12.05 %,953,75.8,0,69.19
114,amreli,kachhadia naranbhai,bjp,329,gujarat,"1,514,190",8.63 %,964,74.25,0,67.43
115,bhavnagar,rajendrasinh ghanshyamsinh,bjp,133,gujarat,"2,880,365",16.63 %,933,75.52,0,67.02
116,anand,solanki bharatbhai madhavsinh,inc,218,gujarat,"2,092,745",12.70 %,925,84.37,1,43.9
117,kheda,dinsha patel,inc,196,gujarat,"2,299,885",13.62 %,940,82.65,1,39.26
120,vadodara,balkrishna khanderao shukla,bjp,48,gujarat,"4,165,626",14.38 %,934,78.92,0,52.55
122,bharuch,mansukhbhai dhanjibhai vasava,bjp,321,gujarat,"1,551,019",13.16 %,925,81.51,0,52.78
124,surat,shrimati darshana vikram,bjp,12,gujarat,"6,081,322",42.24 %,787,85.53,0,65.81
125,navsari,c. r. patil,bjp,366,gujarat,"1,329,672",8.15 %,961,83.88,0,52.75
126,valsad,kishanbhai vestabhai patel,inc,286,gujarat,"1,705,678",20.92 %,922,78.55,1,58.0
127,ambala,selja,inc,410,haryana,"1,128,350",11.23 %,885,81.75,1,59.74
128,kurukshetra,naveen jindal,inc,452,haryana,"964,655",16.86 %,888,76.31,1,66.65
129,sirsa,ashok tanwar,inc,378,haryana,"1,295,189",15.99 %,897,68.82,1,68.88
130,hisar,bhajan lal s/o kheraj,hjcbl,277,haryana,"1,743,931",13.45 %,872,72.89,1,71.14
131,karnal,arvind kumar sharma,inc,334,haryana,"1,505,324",18.14 %,887,74.73,1,66.23
132,sonipat,jitender singh,inc,342,haryana,"1,450,001",13.35 %,856,79.12,1,65.91
133,rohtak,deepender singh,inc,430,haryana,"1,061,204",12.88 %,867,80.22,1,67.64
135,gurgaon,inderjit singh,inc,328,haryana,"1,514,432",73.96 %,854,84.7,1,62.73
136,faridabad,avtar singh bhadana,inc,263,haryana,"1,809,733",32.54 %,873,81.7,1,68.07
137,kangra,dr. rajan sushant,bjp,331,himachal pradesh,"1,510,075",12.77 %,1012,85.67,0,60.41
138,mandi,virbhadra singh,inc,446,himachal pradesh,"999,777",10.92 %,1007,81.53,1,54.29
139,hamirpur,anurag singh thakur,bjp,417,uttar pradesh,"1,104,285",5.80 %,861,68.77,0,62.04
140,shimla,virender kashyap,bjp,483,himachal pradesh,"814,010",12.67 %,915,83.64,0,77.21
142,srinagar,farooq abdullah,jkn,388,jammu and kashmir,"1,236,829",20.35 %,900,69.41,1,71.99
143,anantnag,mirza mehboob beg,jkn,422,jammu and kashmir,"1,078,692",38.58 %,927,62.69,1,63.98
145,udhampur,ch. lal singh,inc,538,jammu and kashmir,"554,985",20.78 %,870,68.49,1,60.77
146,jammu,madan lal sharma,inc,326,jammu and kashmir,"1,529,958",12.74 %,880,83.45,1,59.57
148,belgaum,angadi suresh channabasappa,bjp,25,karnataka,"4,779,661",13.41 %,973,73.48,0,56.35
149,bagalkot,gaddigoudar p.c.,bjp,249,karnataka,"1,889,752",14.40 %,989,68.82,0,57.7
150,bijapur,ramesh chandappa jigajinagi,bjp,210,karnataka,"2,177,331",20.50 %,960,67.15,0,7.9
151,gulbarga,mallikarjun kharge,inc,162,karnataka,"2,566,326",18.01 %,971,64.85,1,56.25
152,raichur,pakkirappa.s.,bjp,244,karnataka,"1,928,812",15.51 %,1000,59.56,0,58.97
153,bidar,n.dharam singh,inc,287,karnataka,"1,703,300",13.37 %,956,70.51,1,45.15
154,koppal,shivaramagouda shivanagouda,bjp,351,karnataka,"1,389,920",16.21 %,986,68.09,0,57.13
155,bellary,j. shantha,bjp,181,karnataka,"2,452,595",20.99 %,983,67.43,0,59.89
156,haveri,udasi shivkumar chanabasappa,bjp,313,karnataka,"1,597,668",11.02 %,950,77.4,0,53.17
