constituency,elec_per,sno_x,winner,party,sno_y,state,population,growth,sr,literacy,values
azamgarh,0.277879472065219,447,ramakant yadav,bjp,30,uttar pradesh,"4,613,913",17.11 %,1019,70.93,0
mayurbhanj,0.2385594777826181,282,laxman tudu,bjd,171,orissa,"2,519,738",13.33 %,1006,63.17,1
pathanamthitta,0.9447694769476948,191,anto antony punnathaniyil,inc,398,kerala,"1,197,412",-2.97 %,1132,96.55,1
jodhpur,0.6524455055874927,327,chandresh kumari,inc,72,rajasthan,"3,687,165",27.74 %,916,65.94,1
sidhi,0.4286756627556882,205,govind prasad mishra,bjp,411,madhya pradesh,"1,127,033",23.72 %,957,64.43,0
malappuram,0.9425816071624528,180,e. ahamed,mul,50,kerala,"4,112,920",13.45 %,1098,93.57,0
nalanda,0.2080308297183382,87,kaushalendra kumar,jd(u),134,bihar,"2,877,653",21.39 %,922,64.43,2
deoria,0.3174194394833292,444,gorakh prasad jaiswal,bsp,113,uttar pradesh,"3,100,946",14.31 %,1017,71.13,1
bhilwara,0.7569819103438635,334,dr. c. p. joshi,inc,184,rajasthan,"2,408,523",19.60 %,973,61.37,1
dhenkanal,0.4209217947336279,286,tathagata satpathy,bjd,400,orissa,"1,192,811",11.80 %,947,78.76,1
lakshadweep,0.9968233205643278,542,hamdullah sayeed,inc,627,lakshadweep,"64,473",6.30 %,946,91.85,1
sitamarhi,0.0903894920493313,63,arjun roy,jd(u),96,bihar,"3,423,574",27.62 %,899,52.05,2
cuddalore,0.9388003551807124,363,alagiri s,inc,157,tamil nadu,"2,605,914",14.02 %,987,78.04,1
adilabad,0.8685702011445755,32,rathod ramesh,tdp,143,andhra pradesh,"2,741,239",10.18 %,1001,61.01,2
dumka,0.2275716772006961,513,shibu soren,jmm,371,jharkhand,"1,321,442",19.42 %,977,61.02,1
damoh,0.6234528336349899,201,shivraj bhaiya,bjp,382,madhya pradesh,"1,264,219",16.63 %,910,69.73,0
agra,0.7974933468131606,396,dr. ramshankar,bjp,41,uttar pradesh,"4,418,797",22.05 %,868,71.58,0
katihar,0.0986933262892119,69,nikhil kumar choudhary,bjp,117,bihar,"3,071,029",28.35 %,919,52.24,0
betul,0.7061826987164984,223,jyoti dhurve,bjp,318,madhya pradesh,"1,575,362",12.92 %,971,68.9,0
vidisha,0.6102838083646304,212,sushma swaraj,bjp,339,madhya pradesh,"1,458,875",20.09 %,896,70.53,0
bargarh,0.4470086317024245,278,sanjay bhoi,inc,338,orissa,"1,481,255",10.02 %,977,74.62,1
parbhani,0.7565146896325787,240,adv. dudhgaonkar ganeshrao,shs,259,maharashtra,"1,836,086",20.19 %,947,73.34,0
morena,0.3629112166686447,195,narendra singh tomar,bjp,236,madhya pradesh,"1,965,970",23.44 %,840,71.03,0
shimla,0.955656358909111,140,virender kashyap,bjp,483,himachal pradesh,"814,010",12.67 %,915,83.64,0
bijnor,0.426764608592766,382,sanjay singh chauhan,rld,73,uttar pradesh,"3,682,713",17.60 %,917,68.48,1
erode,0.9035680563019368,354,ganeshamurthi.a.,mdmk,200,tamil nadu,"2,251,744",11.66 %,993,72.58,1
mirzapur,0.3735667917885261,457,bal kumar patel,sp,173,uttar pradesh,"2,496,970",18.00 %,903,68.48,2
indore,0.9646403416681022,220,sumitra mahajan (tai),bjp,105,madhya pradesh,"3,276,697",32.88 %,928,80.87,0
banka,0.1640970177336038,85,digvijay singh,ind,227,bihar,"2,034,763",26.48 %,907,58.17,1
ganganagar,0.7573132340315131,312,bharat ram meghwal,inc,235,rajasthan,"1,969,168",10.04 %,887,69.64,1
kachchh,0.906765656161399,101,jat poonamben veljibhai,bjp,219,gujarat,"2,092,371",32.16 %,908,70.59,0
sagar,0.7195256746277154,199,bhupendra singh,bjp,188,madhya pradesh,"2,378,458",17.63 %,893,76.46,0
jalpaiguri,0.4440440631018538,461,mahendra kumar roy,cpm,66,west bengal,"3,872,846",13.87 %,953,73.25,2
faridabad,0.0939512725666022,136,avtar singh bhadana,inc,263,haryana,"1,809,733",32.54 %,873,81.7,1
hingoli,0.7008161521487308,238,subhash bapurao wankhede,shs,403,maharashtra,"1,177,345",19.27 %,942,78.17,0
bhind,0.3614981760635159,196,ashok argal,bjp,288,madhya pradesh,"1,703,005",19.21 %,837,75.26,0
dibrugarh,0.5007858841288044,57,paban singh ghatowar,inc,368,assam,"1,326,335",11.92 %,961,76.05,1
kangra,0.9811953972420312,137,dr. rajan sushant,bjp,331,himachal pradesh,"1,510,075",12.77 %,1012,85.67,0
faridkot,0.9607083329808026,307,paramjit kaur gulshan,sad,519,punjab,"617,508",12.09 %,890,69.55,0
thiruvananthapuram,0.945821176822632,194,shashi tharoor,inc,103,kerala,"3,301,427",2.07 %,1087,93.02,1
dindigul,0.8879294425148978,359,chitthan n s v,inc,212,tamil nadu,"2,159,775",12.31 %,998,76.26,1
khunti,0.2840317961306914,522,karia munda,bjp,541,jharkhand,"531,885",22.32 %,997,63.86,0
pali,0.7617694502461584,326,badri ram jakhar,inc,225,rajasthan,"2,037,573",11.94 %,987,62.39,1
warangal,0.931938781367009,4,rajaiah siricilla,inc,83,andhra pradesh,"3,512,576",8.21 %,997,65.11,1
solapur,0.6933331470661167,265,shinde sushilkumar sambhajirao,inc,43,maharashtra,"4,317,756",12.16 %,938,77.02,1
bagalkot,0.8480824589098338,149,gaddigoudar p.c.,bjp,249,karnataka,"1,889,752",14.40 %,989,68.82,0
nagaur,0.5948272171332378,325,dr. jyoti mirdha,inc,102,rajasthan,"3,307,743",19.20 %,950,62.8,1
ghazipur,0.2014759191635188,453,radhey mohan singh,sp,79,uttar pradesh,"3,620,268",19.18 %,952,71.78,2
dharwad,0.9352459589199418,157,pralhad joshi,bjp,256,karnataka,"1,847,023",15.13 %,971,80.0,0
fatehpur,0.1591113290953255,427,rakesh sachan,sp,155,uttar pradesh,"2,632,733",14.05 %,901,67.43,2
sultanpur,0.3721797985428196,416,dr.sanjay singh,inc,68,uttar pradesh,"3,797,117",18.11 %,983,69.27,1
kheri,0.1728940504425127,406,zafar ali naqvi,inc,56,uttar pradesh,"4,021,243",25.38 %,894,60.56,1
dhule,0.7715488133104967,225,sonawane pratap narayanrao,bjp,223,maharashtra,"2,050,862",20.08 %,946,72.8,0
murshidabad,0.3464829834585234,469,abdul mannan hossain,inc,9,west bengal,"7,103,807",21.09 %,958,66.59,1
mahasamund,0.8283964382621714,509,chandulal sahu (chandu bhaiya),bjp,438,chhattisgarh,"1,032,754",20.05 %,1017,71.02,0
kolhapur,0.937335282653445,270,sadashivrao dadoba mandlik,ind,65,maharashtra,"3,876,001",10.01 %,957,81.51,1
thane,0.918203451306171,248,dr.sanjeev ganesh naik,ncp,1,maharashtra,"11,060,148",36.01 %,886,84.53,1
kollam,0.9509872210060368,192,n.peethambarakurup,inc,153,kerala,"2,635,375",1.94 %,1113,94.09,1
mandi,0.9749856814276752,138,virbhadra singh,inc,446,himachal pradesh,"999,777",10.92 %,1007,81.53,1
sundargarh,0.4723015130162499,279,hemanand biswal,inc,217,orissa,"2,093,437",14.35 %,973,73.34,1
mainpuri,0.2539397912489074,399,mulayam singh yadav,sp,254,uttar pradesh,"1,868,529",17.02 %,881,75.99,2
pratapgarh,0.2630546519071453,417,rajkumari ratna singh,inc,109,uttar pradesh,"3,209,141",17.50 %,998,70.09,1
pratapgarh,0.2630546519071453,417,rajkumari ratna singh,inc,472,rajasthan,"867,848",22.78 %,983,55.97,1
meerut,0.7483564690678599,388,rajendra agarwal,bjp,94,uttar pradesh,"3,443,689",14.89 %,886,72.84,0
nalgonda,0.9015263321423024,2,gutha sukender reddy,inc,88,andhra pradesh,"3,488,809",7.41 %,983,64.2,1
dindori,0.3690672725874117,243,chavan harishchandra deoram,bjp,501,madhya pradesh,"704,524",21.32 %,1002,63.9,0
anand,0.8856317479937448,116,solanki bharatbhai madhavsinh,inc,218,gujarat,"2,092,745",12.70 %,925,84.37,1
hardoi,0.134761069588738,409,usha verma,sp,51,uttar pradesh,"4,092,845",20.44 %,868,64.57,2
tumkur,0.8843090915376324,165,g.s. basavaraj,bjp,150,karnataka,"2,678,980",3.65 %,984,75.14,0
karimnagar,0.944969048849898,34,ponnam prabhakar,inc,69,andhra pradesh,"3,776,269",8.15 %,1008,64.15,1
udhampur,0.7909087022509138,145,ch. lal singh,inc,538,jammu and kashmir,"554,985",20.78 %,870,68.49,1
kendrapara,0.5287243627922603,292,baijayant panda,bjd,344,orissa,"1,440,361",10.63 %,1007,85.15,1
rewa,0.4647382456192296,204,deoraj singh patel,bsp,190,madhya pradesh,"2,365,106",19.86 %,931,71.62,1
thiruvallur,0.9686607258884006,338,venugopal.p,admk,70,tamil nadu,"3,728,104",35.33 %,987,84.03,2
kozhikode,0.9383394874419624,179,m.k. raghavan,inc,114,kerala,"3,086,293",7.20 %,1098,95.08,1
churu,0.6670370892843263,314,ram singh kaswan,bjp,224,rajasthan,"2,039,547",6.01 %,940,66.75,0
chamarajanagar,0.8687868041507302,168,r.dhruvanarayana,inc,441,karnataka,"1,020,791",5.73 %,993,61.43,1
anantnag,0.803562561631477,143,mirza mehboob beg,jkn,422,jammu and kashmir,"1,078,692",38.58 %,927,62.69,1
shrawasti,0.1096169125383839,436,vinay kumar alias vinnu,inc,414,uttar pradesh,"1,117,361",-5.02 %,881,46.74,1
gulbarga,0.8700082752098357,151,mallikarjun kharge,inc,162,karnataka,"2,566,326",18.01 %,971,64.85,1
wayanad,0.8083148600615956,178,m.i. shanavas,inc,481,kerala,"817,420",4.71 %,1035,89.03,1
bishnupur,0.7654986522911051,495,susmita bauri,cpm,585,manipur,"237,399",13.93 %,999,75.85,2
shahjahanpur,0.2222361593281371,405,mithlesh,sp,123,uttar pradesh,"3,006,538",18.00 %,872,59.54,2
osmanabad,0.6882727376992774,263,patil padamsinha bajirao,ncp,298,maharashtra,"1,657,576",11.50 %,924,78.44,1
