constituency,water_per,sno_x,winner,party,sno_y,state,population,growth,sr,literacy,values
azamgarh,0.478841695331323,447,ramakant yadav,bjp,30,uttar pradesh,"4,613,913",17.11 %,1019,70.93,0
mayurbhanj,0.1639229606839468,282,laxman tudu,bjd,171,orissa,"2,519,738",13.33 %,1006,63.17,1
pathanamthitta,0.797017201720172,191,anto antony punnathaniyil,inc,398,kerala,"1,197,412",-2.97 %,1132,96.55,1
jodhpur,0.3916926543862057,327,chandresh kumari,inc,72,rajasthan,"3,687,165",27.74 %,916,65.94,1
sidhi,0.1667645110158759,205,govind prasad mishra,bjp,411,madhya pradesh,"1,127,033",23.72 %,957,64.43,0
malappuram,0.811785513720073,180,e. ahamed,mul,50,kerala,"4,112,920",13.45 %,1098,93.57,0
nalanda,0.459027090917299,87,kaushalendra kumar,jd(u),134,bihar,"2,877,653",21.39 %,922,64.43,2
deoria,0.5811297517373308,444,gorakh prasad jaiswal,bsp,113,uttar pradesh,"3,100,946",14.31 %,1017,71.13,1
bhilwara,0.2731884513074431,334,dr. c. p. joshi,inc,184,rajasthan,"2,408,523",19.60 %,973,61.37,1
dhenkanal,0.1957754068326328,286,tathagata satpathy,bjd,400,orissa,"1,192,811",11.80 %,947,78.76,1
lakshadweep,0.8367747360553116,542,hamdullah sayeed,inc,627,lakshadweep,"64,473",6.30 %,946,91.85,1
sitamarhi,0.3434958933708734,63,arjun roy,jd(u),96,bihar,"3,423,574",27.62 %,899,52.05,2
cuddalore,0.3336941617954824,363,alagiri s,inc,157,tamil nadu,"2,605,914",14.02 %,987,78.04,1
east delhi,0.9080971260070264,537,sandeep dikshit,inc,284,delhi,"1,709,346",16.79 %,884,89.31,1
adilabad,0.3524034552065913,32,rathod ramesh,tdp,143,andhra pradesh,"2,741,239",10.18 %,1001,61.01,2
dumka,0.0853531189887331,513,shibu soren,jmm,371,jharkhand,"1,321,442",19.42 %,977,61.02,1
damoh,0.1202065655978612,201,shivraj bhaiya,bjp,382,madhya pradesh,"1,264,219",16.63 %,910,69.73,0
agra,0.456506742391579,396,dr. ramshankar,bjp,41,uttar pradesh,"4,418,797",22.05 %,868,71.58,0
katihar,0.509495788922687,69,nikhil kumar choudhary,bjp,117,bihar,"3,071,029",28.35 %,919,52.24,0
betul,0.2088854509988565,223,jyoti dhurve,bjp,318,madhya pradesh,"1,575,362",12.92 %,971,68.9,0
vidisha,0.2696129030088864,212,sushma swaraj,bjp,339,madhya pradesh,"1,458,875",20.09 %,896,70.53,0
bargarh,0.099402503006232,278,sanjay bhoi,inc,338,orissa,"1,481,255",10.02 %,977,74.62,1
