constituency,elec_per
azamgarh,0.277879472065219
mayurbhanj,0.23855947778261816
north_cachar_hills,
pathanamthitta,0.9447694769476948
jaintia_hills,0.6427469849788717
jhunjhunun,0.7755718545393886
jodhpur,0.6524455055874927
sidhi,0.42867566275568825
shahdara,
jhabua,0.6040381271644005
malappuram,0.9425816071624527
nalanda,0.2080308297183382
deoria,0.31741943948332924
bhilwara,0.7569819103438635
dhenkanal,0.4209217947336279
south_sikkim,0.9120875487667791
lakshadweep,0.9968233205643278
sitamarhi,0.09038949204933139
kaimur_(bhabua),0.21587199242597369
cuddalore,0.9388003551807123
east_delhi,0.9954089478956503
sheopur,0.5165529057396303
adilabad,0.8685702011445755
dumka,0.22757167720069615
damoh,0.6234528336349899
balrampur,0.17882121305581777
agra,0.7974933468131606
katihar,0.09869332628921196
betul,0.7061826987164984
dakshin_dinajpur_(south_dinajpur),0.4241799399829893
vidisha,0.6102838083646304
uttarkashi,0.7906036840049281
shahid_bhagat_singh_nagar_(nawan_shahr),0.9722779358489979
raisen,0.70884723387185
west_midnapore_(paschim_medinipur),0.525887112810344
sirmaur,0.9425172520341951
bargarh,0.44700863170242455
sahibganj,0.15535126516032194
parbhani,0.7565146896325787
kiphire,0.8494145902131492
morena,0.36291121666864473
shimla,0.955656358909111
bijnor,0.426764608592766
erode,0.9035680563019367
mirzapur,0.37356679178852614
indore,0.9646403416681022
banka,0.16409701773360386
barddhaman_(burdwan),0.6156196460170764
buldhana,0.7649408441841415
pudukkottai,0.9074951104375518
ganganagar,0.7573132340315131
kachchh,0.906765656161399
narayanpur,0.3456387044113828
sagar,0.7195256746277154
jalpaiguri,0.44404406310185385
faridabad,0.09395127256660228
udham_singh_nagar,0.8491928065801928
hingoli,0.7008161521487308
bhind,0.3614981760635159
dibrugarh,0.5007858841288044
kangra,0.9811953972420312
faridkot,0.9607083329808026
south_tripura,0.6515103539991134
mumbai,0.9814798553638014
thiruvananthapuram,0.945821176822632
dindigul,0.8879294425148978
darjeeling,0.7773595368948623
barwani,0.7452409066036921
khunti,0.28403179613069146
pali,0.7617694502461584
lunglei,0.8092099212067327
warangal,0.931938781367009
imphal_east,0.856839422259983
solapur,0.6933331470661167
bagalkot,0.8480824589098338
purbi_singhbhum,0.8143610203916526
puducherry_(pondicherry),0.9809842091346883
nagaur,0.5948272171332378
kathua,0.9285956753453953
firozpur,0.9345078534451194
surajpur,
kamrup_metropolitan,0.8638821163408956
ghazipur,0.2014759191635188
dharwad,0.9352459589199418
anjaw,0.46626794258373205
the_dangs,0.6149686261558784
sonbhadra,0.2923730109691115
imphal_west,0.7817187794565188
fatehpur,0.15911132909532558
aizawl,0.9742650649477488
peren,0.7414798566154834
batod,
moga,0.9590436546949191
sultanpur,0.37217979854281963
mahe,0.9934695011810477
balodabazar,
kheri,0.17289405044251277
karbi_anglong,0.3046369589414151
dhule,0.7715488133104967
murshidabad,0.3464829834585234
thiruvarur,0.9242097624485092
kinnaur,0.9145124136165856
mahasamund,0.8283964382621714
kolhapur,0.937335282653445
badgam,0.9089992844112519
thane,0.918203451306171
tinsukia,0.6025642458725031
kollam,0.9509872210060367
mandi,0.9749856814276753
sundargarh,0.47230151301624995
mainpuri,0.2539397912489074
pratapgarh,0.2630546519071453
bid,0.7376112924323898
meerut,0.7483564690678599
cooch_behar_(koch_bihar),0.2762819932604376
alirajpur,0.6148603004242981
sahibzada_ajit_singh_nagar_(mohali),0.9719788331870463
nalgonda,0.9015263321423023
dindori,0.36906727258741173
churachandpur,0.5988861286962096
anand,0.8856317479937448
kanshiram_nagar,0.2131325688383736
nainital,0.9032270132757552
hardoi,0.13476106958873801
tumkur,0.8843090915376324
mahisagar,
karimnagar,0.9449690488498979
pashchimi_singhbhum,0.40667527002197523
south_garo_hills,0.45191672174487774
udhampur,0.7909087022509138
tamenglong,0.47150386076725087
kendrapara,0.5287243627922603
rayagada,0.2723575436795242
khamman,0.894236917224239
chikmagalur,0.8762992655406672
devbhoomi_dwarka,
rewa,0.46473824561922966
sivasagar,0.49975099500775355
siddharthnagar,0.24726078883969008
aravalli,
rae_bareli,0.4034423206202297
thiruvallur,0.9686607258884006
kozhikode,0.9383394874419625
churu,0.6670370892843263
upper_subansiri,0.34573064796345154
neemuch,0.8268987738093883
kargil,0.8688776630792884
chamarajanagar,0.8687868041507302
chhatarpur,0.4746916159995686
mahendragarh,0.8037679869455571
banas_kantha,0.7072771275003208
chennai,
udupi,0.9127167465785403
jhalawar,0.7810834561741694
anantnag,0.803562561631477
deogarh,0.29565984567169684
deoghar,0.500134451973755
shrawasti,0.1096169125383839
jalor,0.4911597615897255
chikaballapura,
bundi,0.6223855028604405
gulbarga,0.8700082752098357
jhajjar,0.9190730643402399
wayanad,0.8083148600615956
bishnupur,0.7654986522911051
hapur,
shahjahanpur,0.22223615932813715
osmanabad,0.6882727376992774
new_delhi,0.9880862267566234
bhadrak,0.5318954404623829
yavatmal,0.6972618034463643
sirsa,0.8972179321197085
west_garo_hills,0.4212596485465594
alwar,0.7723214498666747
kolasib,0.8587534690101758
shivpuri,0.4156672147984353
birbhum,0.4105422939059283
saran,0.14770265932415208
gautam_buddha_nagar,0.8144290782159999
south_west_garo_hills,
bahraich,0.1441820766224558
dibang_valley,0.5740245857830037
madurai,0.9451110924519293
mehesana,0.9053831000664464
purnia,0.13431598859395705
south_east_delhi,
sabarkantha,0.9166327061611672
nuapada,0.27494107423083897
garhwal_(pauri_garhwal),0.8903752906832912
saihag,0.678028220634048
rajgarh,0.6761192108773489
baramula,0.9465031851496678
west_sikkim,0.9071069633883704
harda,0.8565970751750299
yamunanagar,0.9532790154407156
north_sikkim,0.8790295406042907
hathras_(earlier_mahamaya_nagar),0.5177828050816808
darbhanga,0.15815861779678475
kheda,0.8054503672095107
karimganj,0.28696404809765136
raipur,0.8461083748419113
nicobar,0.9339291093483282
north_garo_hills,
gumla,0.16779013921175118
gariaband,
supaul,0.1157611999891108
alipurduar,
bhatinda,0.9609637829608886
ernakulam,0.9741707157806191
mandya,0.9166740900843456
balangir,0.28570106068075196
south_andaman_(andaman),0.9192327903310562
banda,0.22780778156827386
agarmalwa,
jamtara,0.32923392603745427
mamit,0.7066961171820507
tiruppur,0.9348756825259096
mokokchung,0.9482807481579445
washim,0.7600933724194624
una,0.9656332327550844
gurgaon,0.9535587976621902
banswara,0.32946328324122615
kondagoan,
wardha,0.8793280031716665
kanniyakumari,0.9519440884217326
sonitpur,0.3447101181445287
baghpat,0.5752136752136752
