constituency,water_per
azamgarh,0.478841695331323
mayurbhanj,0.1639229606839468
north cachar hills,
pathanamthitta,0.797017201720172
jaintia hills,0.1290984238610777
jhunjhunun,0.4994787105383877
jodhpur,0.3916926543862057
sidhi,0.1667645110158759
shahdara,
jhabua,0.0936754952533703
malappuram,0.811785513720073
nalanda,0.459027090917299
deoria,0.5811297517373308
bhilwara,0.2731884513074431
dhenkanal,0.1957754068326328
south sikkim,0.6048072472393043
lakshadweep,0.8367747360553116
sitamarhi,0.3434958933708734
kaimur (bhabua),0.554940256602788
cuddalore,0.3336941617954824
east delhi,0.9080971260070264
sheopur,0.1391176389311078
adilabad,0.3524034552065913
dumka,0.0853531189887331
damoh,0.1202065655978612
balrampur,0.5956085996180578
agra,0.456506742391579
katihar,0.509495788922687
betul,0.2088854509988565
dakshin dinajpur (south dinajpur),0.3763732866253934
vidisha,0.2696129030088864
uttarkashi,0.4286637218666426
shahid bhagat singh nagar (nawan shahr),0.8717446398308378
raisen,0.2574340833667627
west midnapore (paschim medinipur),0.240970030952198
sirmaur,0.4084766711298795
bargarh,0.099402503006232
sahibganj,0.1964884618982081
parbhani,0.4370602966245218
kiphire,0.1467427199039327
morena,0.2008506551037926
shimla,0.5646180229020302
bijnor,0.7043564967366828
erode,0.355513758208928
mirzapur,0.2508526965168019
indore,0.490993509216133
banka,0.2868086091791597
barddhaman (burdwan),0.3541465113579196
buldhana,0.4478374629993617
pudukkottai,0.1459572790480969
ganganagar,0.6331280073393122
kachchh,0.7038499328853024
narayanpur,0.0878937409564798
sagar,0.2111238723483621
jalpaiguri,0.5551990304167281
faridabad,0.7185285470705194
udham singh nagar,0.8098129657526029
hingoli,0.3679908034231702
bhind,0.1719663644654256
dibrugarh,0.675853023180834
kangra,0.5963133941921541
faridkot,0.8064352372813957
south tripura,0.2649172118490084
mumbai,0.8488187939247779
thiruvananthapuram,0.8422754574829809
dindigul,0.2500674749454873
darjeeling,0.3785408421377544
barwani,0.1984069842549812
khunti,0.0877413447113605
pali,0.3499715612412352
lunglei,0.3037066560382622
warangal,0.5197495253518923
imphal east,0.1779513321569396
solapur,0.4982124168054939
bagalkot,0.2883895131086142
purbi singhbhum,0.4518077419299896
puducherry (pondicherry),0.8054381607521358
nagaur,0.28464005781406
kathua,0.4414525272412505
firozpur,0.7663930811642929
surajpur,
kamrup metropolitan,0.7669910602366489
ghazipur,0.4076474252373033
dharwad,0.5728657667972928
anjaw,0.3126794258373205
the dangs,0.1126362285336856
sonbhadra,0.2195412917000593
imphal west,0.3027120196062589
fatehpur,0.1872348162132336
aizawl,0.4999023342123254
peren,0.2878390669306083
batod,
moga,0.7944861631141883
sultanpur,0.3620416451009277
mahe,0.9301097679588718
balodabazar,
kheri,0.6097564067174058
karbi anglong,0.3522382494025119
dhule,0.6019745534621972
murshidabad,0.4202915438455412
